run,file,nSnaps,successFinal,successAny,hvFinal,hvMax,bestQED,bestSim,validFrac,simEq1Count,leadLikeQED,maxQED_at_sim_ge_thr,maxSim_at_qed_ge_thr,countSim_ge_thr,countQED_ge_thr,countBoth
1,FRCSO_N100_DDProblem1_M2_D256_1.mat,26,0,0,0.864377863050766,0.864377863050766,0.945879399776459,1,1,7,0.755569994449615,0.896051824092865,0.369230777025223,54,40,0
2,FRCSO_N100_DDProblem1_M2_D256_2.mat,26,1,1,0.851792668313063,0.851792668313063,0.920524835586548,1,1,10,0.711342990398407,0.918148338794708,0.61904764175415,77,60,37
3,FRCSO_N100_DDProblem1_M2_D256_3.mat,26,1,1,0.888004304862711,0.888004304862711,0.945935845375061,1,1,6,0.754759788513184,0.932774066925049,0.534482777118683,59,59,18
4,FRCSO_N100_DDProblem1_M2_D256_4.mat,26,1,1,0.876079505539821,0.876079505539821,0.930984020233154,1,1,20,0.749667167663574,0.930984020233154,0.644067823886871,100,40,40
5,FRCSO_N100_DDProblem1_M2_D256_5.mat,26,1,1,0.881011943536882,0.881011943536882,0.933034121990204,1,1,10,0.78674727678299,0.929408967494965,0.571428596973419,73,54,27
6,FRCSO_N100_DDProblem1_M2_D256_6.mat,26,1,1,0.859667487886652,0.859667487886652,0.931959986686707,1,1,11,0.719673633575439,0.909977436065674,0.50943398475647,55,56,11
7,FRCSO_N100_DDProblem1_M2_D256_7.mat,26,1,1,0.850832798931981,0.850832798931981,0.93094927072525,1,1,8,0.750775992870331,0.900714576244354,0.409090906381607,58,49,7
8,FRCSO_N100_DDProblem1_M2_D256_8.mat,26,1,1,0.900383637822467,0.900383637822467,0.944960534572601,1,1,10,0.785267114639282,0.942730665206909,0.661290347576141,80,60,40
9,FRCSO_N100_DDProblem1_M2_D256_9.mat,26,1,1,0.874030079383008,0.874030079383008,0.942912697792053,1,1,10,0.779753386974335,0.91888290643692,0.441860467195511,60,70,30
10,FRCSO_N100_DDProblem1_M2_D256_10.mat,26,1,1,0.889977506882995,0.889977506882995,0.947862267494202,1,1,13,0.792693793773651,0.944328486919403,0.625,52,74,26
11,FRCSO_N100_DDProblem1_M2_D256_11.mat,26,1,1,0.873890513843186,0.873890513843186,0.933986842632294,1,1,20,0.724696457386017,0.933986842632294,0.689655184745789,100,40,40
