run,file,nSnaps,successFinal,successAny,hvFinal,hvMax,bestQED,bestSim,validFrac,simEq1Count,leadLikeQED,maxQED_at_sim_ge_thr,maxSim_at_qed_ge_thr,countSim_ge_thr,countQED_ge_thr,countBoth
185,FRCSO_N100_DDProblem1_M2_D256_185.mat,26,0,0,0.861333923255549,0.861333923255549,0.941169083118439,1,1,6,0.777153730392456,0.874801337718964,0.328947365283966,36,46,0
186,FRCSO_N100_DDProblem1_M2_D256_186.mat,26,1,1,0.876263116199421,0.876263116199421,0.943687736988068,1,1,8,0.763312637805939,0.902763366699219,0.491228073835373,32,76,8
187,FRCSO_N100_DDProblem1_M2_D256_187.mat,26,1,1,0.848085853415486,0.848085853415486,0.936317980289459,1,1,10,0.729927659034729,0.924475729465485,0.428571432828903,64,45,9
188,FRCSO_N100_DDProblem1_M2_D256_188.mat,26,0,0,0.80204952056795,0.80204952056795,0.940663635730743,1,1,6,0.717212080955505,0.786748230457306,0.152941182255745,30,28,0
189,FRCSO_N100_DDProblem1_M2_D256_189.mat,26,1,1,0.858686604047177,0.858686604047177,0.946454048156738,1,1,7,0.714849054813385,0.941666483879089,0.60317462682724,70,68,38
190,FRCSO_N100_DDProblem1_M2_D256_190.mat,26,0,0,0.8351004759142,0.8351004759142,0.939958214759827,1,1,7,0.778061509132385,0.832165360450745,0.263157904148102,52,34,0
191,FRCSO_N100_DDProblem1_M2_D256_191.mat,26,1,1,0.873518977523161,0.873518977523161,0.947773039340973,1,1,5,0.762482345104218,0.924967229366302,0.592592597007751,45,77,22
192,FRCSO_N100_DDProblem1_M2_D256_192.mat,26,1,1,0.858257293737325,0.858257293737325,0.943929076194763,1,1,6,0.779304444789886,0.914491415023804,0.454545468091965,54,56,10
193,FRCSO_N100_DDProblem1_M2_D256_193.mat,26,0,0,0.825487945760385,0.825487945760385,0.938747346401215,1,1,5,0.717108905315399,0.859651207923889,0.34375,50,40,0
194,FRCSO_N100_DDProblem1_M2_D256_194.mat,26,1,1,0.887215156267506,0.887215156267506,0.94237208366394,1,1,6,0.753707468509674,0.916264832019806,0.641509413719177,61,77,38
195,FRCSO_N100_DDProblem1_M2_D256_195.mat,26,1,1,0.869624058484476,0.869624058484476,0.947779655456543,1,1,7,0.791786849498749,0.905446410179138,0.47272726893425,54,53,7
196,FRCSO_N100_DDProblem1_M2_D256_196.mat,26,0,0,0.869508634591845,0.869508634591845,0.933919131755829,1,1,10,0.783016502857208,0.879729390144348,0.226666674017906,50,20,0
197,FRCSO_N100_DDProblem1_M2_D256_197.mat,26,0,0,0.829141425664657,0.829141425664657,0.933779239654541,1,1,6,0.728308141231537,0.882651209831238,0.294117659330368,48,47,0
198,FRCSO_N100_DDProblem1_M2_D256_198.mat,26,1,1,0.869372750507829,0.869372750507829,0.946308612823486,1,1,17,0.770341813564301,0.946308612823486,0.517857134342194,100,33,33
199,FRCSO_N100_DDProblem1_M2_D256_199.mat,26,0,0,0.849971775675413,0.849971775675413,0.942456364631653,1,1,7,0.718543648719788,0.898737668991089,0.378048777580261,68,32,0
200,FRCSO_N100_DDProblem1_M2_D256_200.mat,26,0,0,0.81633662820718,0.81633662820718,0.947684645652771,1,1,5,0.708391904830933,0.870888113975525,0.274193555116653,50,45,0
