run,file,nSnaps,successFinal,successAny,hvFinal,hvMax,bestQED,bestSim,validFrac,simEq1Count,leadLikeQED,maxQED_at_sim_ge_thr,maxSim_at_qed_ge_thr,countSim_ge_thr,countQED_ge_thr,countBoth
1,MOL_MOEA_v10_bank_DDProblem1_M2_D256_1.mat,26,0,0,0.818747629281397,0.818747629281397,0.879611551761627,1,1,7,0.77723902463913,0.877622902393341,NaN,9,0,0
2,MOL_MOEA_v10_bank_DDProblem1_M2_D256_2.mat,26,0,0,0.80263223916344,0.80263223916344,0.945703268051147,1,1,11,0.779949605464935,0.779949605464935,0.126436784863472,11,14,0
3,MOL_MOEA_v10_bank_DDProblem1_M2_D256_3.mat,26,1,1,0.860862857795066,0.860862857795066,0.93308961391449,1,1,1,0.761218845844269,0.93308961391449,0.548387110233307,100,93,93
4,MOL_MOEA_v10_bank_DDProblem1_M2_D256_4.mat,26,0,0,0.823846153037083,0.823846153037083,0.929546475410461,1,1,3,0.750856876373291,0.87150627374649,0.14634145796299,26,16,0
5,MOL_MOEA_v10_bank_DDProblem1_M2_D256_5.mat,26,1,1,0.828826292691474,0.834205718418507,0.901123702526093,1,1,1,0.711342990398407,0.901123702526093,0.61904764175415,100,99,99
6,MOL_MOEA_v10_bank_DDProblem1_M2_D256_6.mat,26,0,0,0.860183057287965,0.860183057287965,0.927416503429413,1,1,9,0.755569994449615,0.885845422744751,0.353846162557602,18,12,0
7,MOL_MOEA_v10_bank_DDProblem1_M2_D256_7.mat,26,0,0,0.821613754520141,0.821796845161218,0.93014669418335,1,1,8,0.749667167663574,0.852046430110931,0.25,12,19,0
8,MOL_MOEA_v10_bank_DDProblem1_M2_D256_8.mat,26,0,0,0.8557020848117,0.8557020848117,0.916884064674377,1,1,13,0.754759788513184,0.875955581665039,0.192771077156067,20,7,0
9,MOL_MOEA_v10_bank_DDProblem1_M2_D256_9.mat,26,0,0,0.868086520065092,0.868086520065092,0.942898988723755,1,1,10,0.78674727678299,0.896791934967041,0.151898726820946,21,15,0
10,MOL_MOEA_v10_bank_DDProblem1_M2_D256_10.mat,26,0,0,0.847572987289196,0.847572987289196,0.944328486919403,1,1,6,0.719673633575439,0.875050127506256,0.246376812458038,14,24,0
11,MOL_MOEA_v10_bank_DDProblem1_M2_D256_11.mat,26,0,0,0.79028748107713,0.79028748107713,0.928120672702789,1,1,5,0.750775992870331,0.795071840286255,0.0945945978164673,8,23,0
12,MOL_MOEA_v10_bank_DDProblem1_M2_D256_12.mat,26,0,0,0.824162714253996,0.824162714253996,0.927862763404846,1,1,19,0.785267114639282,0.807777881622314,0.217948719859123,22,14,0
13,MOL_MOEA_v10_bank_DDProblem1_M2_D256_13.mat,26,0,0,0.865055375632178,0.865055375632178,0.931657791137695,1,1,9,0.779753386974335,0.881830990314484,0.333333343267441,19,9,0
14,MOL_MOEA_v10_bank_DDProblem1_M2_D256_14.mat,26,1,1,0.87485454513552,0.877847956563475,0.929409205913544,1,1,2,0.792693793773651,0.929409205913544,0.5625,100,97,97
15,MOL_MOEA_v10_bank_DDProblem1_M2_D256_15.mat,26,0,0,0.833617366001839,0.833617366001839,0.913098454475403,1,1,9,0.724696457386017,0.898352086544037,0.164705887436867,35,5,0
16,MOL_MOEA_v10_bank_DDProblem1_M2_D256_16.mat,26,1,1,0.873925261618265,0.873925261618265,0.932609677314758,1,1,14,0.740907430648804,0.922265708446503,0.586206912994385,32,13,9
17,MOL_MOEA_v10_bank_DDProblem1_M2_D256_17.mat,26,0,0,0.84674821872266,0.84674821872266,0.94572788476944,1,1,12,0.744353234767914,0.877410471439362,0.191176474094391,19,18,0
18,MOL_MOEA_v10_bank_DDProblem1_M2_D256_18.mat,26,0,0,0.819731730606365,0.819731730606365,0.913502097129822,1,1,7,0.739252746105194,0.825096964836121,0.109756097197533,11,17,0
19,MOL_MOEA_v10_bank_DDProblem1_M2_D256_19.mat,26,0,0,0.826185315419258,0.826185315419258,0.943983256816864,1,1,9,0.752587378025055,0.833148837089539,0.269230782985687,20,19,0
20,MOL_MOEA_v10_bank_DDProblem1_M2_D256_20.mat,26,1,1,0.848747005531365,0.856096269178947,0.903642117977142,1,1,3,0.770853757858276,0.903642117977142,0.45762711763382,100,88,88
21,MOL_MOEA_v10_bank_DDProblem1_M2_D256_21.mat,26,1,1,0.820345033310451,0.829720031754197,0.907299399375916,1,1,4,0.704633772373199,0.907299399375916,0.41071429848671,100,87,87
